Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
33.0,2.0,29.0,1047.78,937.92,,"[ 1.61924852e-01 -2.37840823e-02  4.07889012e-02  9.21909145e-02
  4.47962350e-02  3.24041280e-02  5.70638576e+02  4.28669653e+01
  1.34787431e+02  1.26475199e+02  3.10155338e+01  2.81138500e+01
  1.21000000e-01]"
33.0,2.0,30.0,1049.46,944.07,,"[ 1.24442119e-01 -2.58133811e-02  1.22728717e-01  1.06784752e-01
  5.24409776e-02  1.05043559e-01  3.30235544e+02  7.75439609e+01
  1.15759608e+03  2.16917868e+02  5.70904510e+01  7.27071788e+02
  7.00000000e-03]"
33.0,2.0,31.0,1024.96,424.21,,"[ 7.60741959e-02 -7.09988525e-02  1.16240513e-01  2.72909591e-02
  3.97076652e-02  8.14750460e-02  5.51367023e+01 -1.39350994e+01
  7.70161245e+01  1.03496422e+01  6.59621153e+00  1.36973287e+01
  1.82000000e-01]"
33.0,2.0,32.0,1022.73,426.77,,"[ 2.48008192e-01 -8.28695141e-02  1.65532120e-01  2.07634049e-01
  1.08348308e-01  1.45597480e-01  6.65529280e+02  7.78594250e+01
  7.55937436e+01  4.53681174e+02  5.79865761e+01  4.81627457e+01
  6.00000000e-03]"
33.0,2.0,33.0,1084.88,428.84,,"[ 4.96863985e-02 -5.92918932e-02  1.16769670e-01  1.88171702e-02
  3.42513182e-02  8.73649663e-02  8.09685412e+01 -1.25117211e+01
  5.50896183e+01  1.47071269e+01  6.73716888e+00  9.73748835e+00
  1.95000000e-01]"
33.0,2.0,34.0,1101.03,425.26,,"[ 3.58563795e-02 -3.90132228e-02  1.25856153e-01  1.60480029e-02
  3.37727089e-02  8.33547886e-02  5.88914871e+01 -2.46490756e+01
  4.81427542e+01  1.04185847e+01  5.44898612e+00  8.00293412e+00
  1.84000000e-01]"
33.0,2.0,35.0,1099.44,424.76,,"[ 8.26082222e-02 -3.00433132e-02  1.47689986e-01  7.04637883e-02
  5.67848992e-02  1.24358636e-01  1.60208043e+02  1.79338569e+01
  2.14654292e+01  1.19174547e+02  1.96378496e+01  1.50812540e+01
  5.00000000e-03]"
33.0,2.0,36.0,1047.51,436.59,,"[ 3.87233965e-02 -4.52397564e-02  1.15155926e-01  1.50651066e-02
  2.81955068e-02  7.50582140e-02  4.18996237e+01  6.74062635e-01
  5.79823838e+01  7.14517090e+00  4.59630881e+00  9.86383950e+00
  2.31000000e-01]"
33.0,2.0,37.0,1098.55,422.33,,"[ 4.38201658e-02 -7.29516142e-02  1.57742820e-01  1.28951124e-02
  2.58954863e-02  8.32520372e-02  6.88129533e+01 -5.95209870e+00
  5.65253278e+01  1.05213938e+01  4.54601024e+00  8.13710706e+00
  4.18000000e-01]"
33.0,3.0,1.0,987.13,464.84,,"[ 4.85970077e-02 -8.00756806e-02  1.75478901e-01  1.28130240e-02
  2.45493955e-02  7.58764971e-02  4.40806448e+01 -6.39120356e-01
  3.09017066e+01  6.66005402e+00  2.57446211e+00  4.61313334e+00
  4.55000000e-01]"
33.0,3.0,2.0,990.32,460.52,,"[ 6.09511593e-02 -8.87875495e-02  1.55699392e-01  1.41763946e-02
  2.54013168e-02  7.08144709e-02  7.29068024e+01 -6.44466243e+00
  4.53404388e+01  1.02776444e+01  2.95780179e+00  6.07617128e+00
  8.69000000e-01]"
33.0,3.0,3.0,993.78,468.8,eye,"[ 5.81967549e-02 -4.16565828e-02  4.87147064e-01  5.11548595e-02
  7.53829530e-02  4.25520577e-01  1.50493134e+02  4.45946185e+01
  3.00399044e+03  9.94303398e+01  4.40952702e+01  1.79334366e+03
  8.00000000e-03]"
