,first layer,second layer,third layer,train,test
2085,110,90,140,1.0,0.6039215686274509
2086,110,100,10,1.0,0.6431372549019607
2087,110,100,20,1.0,0.6509803921568627
2088,110,100,30,1.0,0.6352941176470587
2089,110,100,40,1.0,0.6431372549019608
2090,110,100,50,1.0,0.6470588235294117
2091,110,100,60,1.0,0.6470588235294117
2092,110,100,70,1.0,0.6509803921568625
2093,110,100,80,1.0,0.6470588235294117
2094,110,100,90,1.0,0.6705882352941176
2095,110,100,100,1.0,0.6431372549019606
2096,110,100,110,1.0,0.6431372549019607
2097,110,100,120,1.0,0.6274509803921567
2098,110,100,130,1.0,0.6431372549019607
2099,110,100,140,1.0,0.6627450980392156
2100,110,110,10,1.0,0.6392156862745096
2101,110,110,20,1.0,0.6431372549019607
2102,110,110,30,1.0,0.6627450980392156
2103,110,110,40,1.0,0.6431372549019607
2104,110,110,50,1.0,0.6313725490196076
2105,110,110,60,1.0,0.6313725490196077
2106,110,110,70,1.0,0.6470588235294116
2107,110,110,80,1.0,0.6431372549019607
2108,110,110,90,1.0,0.6274509803921567
2109,110,110,100,1.0,0.6549019607843136
2110,110,110,110,1.0,0.6392156862745096
2111,110,110,120,1.0,0.6431372549019607
2112,110,110,130,1.0,0.6627450980392156
2113,110,110,140,1.0,0.6627450980392156
2114,110,120,10,1.0,0.6352941176470588
2115,110,120,20,1.0,0.6666666666666665
2116,110,120,30,1.0,0.6745098039215685
2117,110,120,40,1.0,0.6274509803921567
2118,110,120,50,1.0,0.6352941176470587
2119,110,120,60,1.0,0.6156862745098038
2120,110,120,70,1.0,0.6431372549019607
2121,110,120,80,1.0,0.6352941176470587
2122,110,120,90,1.0,0.6431372549019607
2123,110,120,100,1.0,0.6392156862745098
2124,110,120,110,1.0,0.6392156862745098
2125,110,120,120,1.0,0.6274509803921567
2126,110,120,130,1.0,0.6431372549019607
2127,110,120,140,1.0,0.6509803921568625
2128,110,130,10,1.0,0.6313725490196078
2129,110,130,20,1.0,0.6549019607843137
2130,110,130,30,1.0,0.6470588235294117
2131,110,130,40,1.0,0.6549019607843136
2132,110,130,50,1.0,0.6352941176470587
2133,110,130,60,1.0,0.6588235294117647
2134,110,130,70,1.0,0.6352941176470588
2135,110,130,80,1.0,0.6509803921568628
2136,110,130,90,1.0,0.6509803921568627
2137,110,130,100,1.0,0.6588235294117646
2138,110,130,110,1.0,0.6235294117647058
2139,110,130,120,1.0,0.6313725490196078
2140,110,130,130,1.0,0.6392156862745096
2141,110,130,140,1.0,0.6588235294117646
2142,110,140,10,0.9957894736842106,0.6392156862745098
2143,110,140,20,1.0,0.6392156862745098
2144,110,140,30,1.0,0.6588235294117646
2145,110,140,40,1.0,0.6313725490196078
2146,110,140,50,1.0,0.6588235294117646
2147,110,140,60,1.0,0.6392156862745096
2148,110,140,70,1.0,0.6470588235294117
2149,110,140,80,1.0,0.6627450980392156
2150,110,140,90,1.0,0.6431372549019607
2151,110,140,100,1.0,0.6470588235294117
2152,110,140,110,1.0,0.6470588235294117
2153,110,140,120,1.0,0.6705882352941175
2154,110,140,130,1.0,0.6431372549019606
2155,110,140,140,1.0,0.6392156862745096
2156,120,10,10,1.0,0.6156862745098038
2157,120,10,20,1.0,0.6196078431372548
2158,120,10,30,1.0,0.6313725490196078
2159,120,10,40,1.0,0.6117647058823529
2160,120,10,50,1.0,0.6392156862745096
2161,120,10,60,0.9992982456140351,0.6039215686274509
2162,120,10,70,1.0,0.6352941176470588
2163,120,10,80,0.9992982456140351,0.6117647058823529
2164,120,10,90,1.0,0.6156862745098038
2165,120,10,100,1.0,0.607843137254902
2166,120,10,110,0.9992982456140351,0.6352941176470588
2167,120,10,120,1.0,0.6196078431372548
2168,120,10,130,1.0,0.596078431372549
2169,120,10,140,1.0,0.6352941176470589
2170,120,20,10,1.0,0.6470588235294117
2171,120,20,20,1.0,0.6313725490196078
2172,120,20,30,1.0,0.6274509803921569
2173,120,20,40,1.0,0.6470588235294117
2174,120,20,50,1.0,0.6156862745098038
2175,120,20,60,1.0,0.6313725490196078
2176,120,20,70,1.0,0.6666666666666666
2177,120,20,80,1.0,0.6274509803921569
2178,120,20,90,1.0,0.6431372549019607
2179,120,20,100,1.0,0.6313725490196077
2180,120,20,110,1.0,0.6235294117647058
