,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
93,LookAtMe1.2,45,1,2,1,2,94,42,1.0,0.4303353121504187,False,stim\morph\7&8 80.jpg,2019-02-21 09:57:39,2,1
94,LookAtMe1.2,45,1,2,1,2,95,41,1.0,0.5123276505619287,False,stim\8 F080C + F101C.jpg,2019-02-21 09:57:48,1,1
95,LookAtMe1.2,45,1,2,1,2,96,46,3.0,0.6312798066064715,True,stim\7 F080C.jpg,2019-02-21 09:57:58,6,1
96,LookAtMe1.2,45,1,2,1,2,97,15,1.0,0.735065178014338,False,stim\morph\1&2 80.jpg,2019-02-21 09:58:06,5,0
97,LookAtMe1.2,45,1,2,1,2,98,44,1.0,0.7077176719903946,False,stim\morph\7&8 40.jpg,2019-02-21 09:58:15,4,1
98,LookAtMe1.2,45,1,2,1,2,99,16,4.0,0.4934834232553839,False,stim\2 M024C + M010C.jpg,2019-02-21 09:58:24,6,0
99,LookAtMe1.2,45,1,2,1,2,100,43,1.0,0.5261774780228734,False,stim\morph\7&8 60.jpg,2019-02-21 09:58:34,3,1
100,LookAtMe1.2,45,1,2,1,2,101,16,1.0,0.5127242701128125,True,stim\2 M024C + M010C.jpg,2019-02-21 09:58:42,6,0
101,LookAtMe1.2,45,1,2,1,2,102,12,1.0,0.5770532265305519,False,stim\morph\1&2 20.jpg,2019-02-21 09:58:51,2,0
102,LookAtMe1.2,45,1,2,1,2,103,13,1.0,0.5550498655065894,False,stim\morph\1&2 40.jpg,2019-02-21 09:58:59,3,0
103,LookAtMe1.2,45,1,2,1,2,104,14,1.0,1.5586936557665467,False,stim\morph\1&2 60.jpg,2019-02-21 09:59:08,4,0
104,LookAtMe1.2,45,1,2,1,2,105,44,1.0,0.4815821386873722,False,stim\morph\7&8 40.jpg,2019-02-21 09:59:17,4,1
105,LookAtMe1.2,45,1,2,1,2,106,46,3.0,0.5486546792089939,False,stim\7 F080C.jpg,2019-02-21 09:59:27,6,1
106,LookAtMe1.2,45,1,2,1,2,107,42,1.0,1.0375120788812635,False,stim\morph\7&8 80.jpg,2019-02-21 09:59:36,2,1
107,LookAtMe1.2,45,1,2,1,2,108,16,4.0,0.5195226864889264,True,stim\2 M024C + M010C.jpg,2019-02-21 09:59:45,6,0
108,LookAtMe1.2,45,1,2,1,2,109,43,1.0,0.4116040607914328,False,stim\morph\7&8 60.jpg,2019-02-21 09:59:53,3,1
109,LookAtMe1.2,45,1,2,1,2,110,45,1.0,0.5322664873674512,False,stim\morph\7&8 20.jpg,2019-02-21 10:00:02,5,1
110,LookAtMe1.2,45,1,2,1,2,111,11,1.0,0.5677290661260486,False,stim\1 M024C.jpg,2019-02-21 10:00:11,1,0
111,LookAtMe1.2,45,1,2,1,2,112,16,4.0,0.5233284300193191,False,stim\2 M024C + M010C.jpg,2019-02-21 10:00:19,6,0
112,LookAtMe1.2,45,1,2,1,2,113,41,1.0,0.6366026187315583,False,stim\8 F080C + F101C.jpg,2019-02-21 10:00:28,1,1
113,LookAtMe1.2,45,1,2,1,2,114,13,1.0,0.4387986278161406,False,stim\morph\1&2 40.jpg,2019-02-21 10:00:37,3,0
114,LookAtMe1.2,45,1,2,1,2,115,15,3.0,0.7667700881138444,False,stim\morph\1&2 80.jpg,2019-02-21 10:00:45,5,0
115,LookAtMe1.2,45,1,2,1,2,116,46,3.0,0.5283757112920284,True,stim\7 F080C.jpg,2019-02-21 10:00:56,6,1
116,LookAtMe1.2,45,1,2,1,2,117,14,2.0,1.5733436336740851,False,stim\morph\1&2 60.jpg,2019-02-21 10:01:05,4,0
117,LookAtMe1.2,45,1,2,1,2,118,12,1.0,0.4528395542874932,False,stim\morph\1&2 20.jpg,2019-02-21 10:01:13,2,0
118,LookAtMe1.2,45,1,2,1,2,119,14,1.0,0.4042548844590783,False,stim\morph\1&2 60.jpg,2019-02-21 10:01:22,4,0
119,LookAtMe1.2,45,1,2,1,2,120,43,1.0,0.4650497213006019,False,stim\morph\7&8 60.jpg,2019-02-21 10:01:31,3,1
120,LookAtMe1.2,45,1,2,1,2,121,44,1.0,0.4352825367823243,False,stim\morph\7&8 40.jpg,2019-02-21 10:01:39,4,1
121,LookAtMe1.2,45,1,2,1,2,122,46,3.0,0.4905676702037453,False,stim\7 F080C.jpg,2019-02-21 10:01:47,6,1
122,LookAtMe1.2,45,1,2,1,2,123,12,1.0,0.3782408609986305,False,stim\morph\1&2 20.jpg,2019-02-21 10:01:56,2,0
123,LookAtMe1.2,45,1,2,1,2,124,16,4.0,0.7086235862225294,True,stim\2 M024C + M010C.jpg,2019-02-21 10:02:06,6,0
124,LookAtMe1.2,45,1,2,1,2,125,42,1.0,0.5814623115584254,False,stim\morph\7&8 80.jpg,2019-02-21 10:02:14,2,1
125,LookAtMe1.2,45,1,2,1,2,126,15,1.0,0.3608704349026084,False,stim\morph\1&2 80.jpg,2019-02-21 10:02:22,5,0
126,LookAtMe1.2,45,1,2,1,2,127,11,1.0,0.5885110190138221,False,stim\1 M024C.jpg,2019-02-21 10:02:32,1,0
127,LookAtMe1.2,45,1,2,1,2,128,13,1.0,0.4410287104547024,False,stim\morph\1&2 40.jpg,2019-02-21 10:02:40,3,0
128,LookAtMe1.2,45,1,2,1,2,129,46,3.0,0.5648953402414918,True,stim\7 F080C.jpg,2019-02-21 10:02:49,6,1
129,LookAtMe1.2,45,1,2,1,2,130,16,4.0,0.8031761394813657,False,stim\2 M024C + M010C.jpg,2019-02-21 10:02:59,6,0
130,LookAtMe1.2,45,1,2,1,2,131,45,1.0,0.4997157556936145,False,stim\morph\7&8 20.jpg,2019-02-21 10:03:08,5,1
131,LookAtMe1.2,45,1,2,1,2,132,41,1.0,0.4860621346160769,False,stim\8 F080C + F101C.jpg,2019-02-21 10:03:18,1,1
132,LookAtMe1.2,45,1,2,1,2,133,16,4.0,0.4545050552114844,False,stim\2 M024C + M010C.jpg,2019-02-21 10:03:27,6,0
133,LookAtMe1.2,45,1,2,1,2,134,15,1.0,0.4468118408694863,False,stim\morph\1&2 80.jpg,2019-02-21 10:03:35,5,0
134,LookAtMe1.2,45,1,2,1,2,135,41,1.0,0.556020381860435,False,stim\8 F080C + F101C.jpg,2019-02-21 10:03:44,1,1
135,LookAtMe1.2,45,1,2,1,2,136,13,1.0,0.5888959197327495,False,stim\morph\1&2 40.jpg,2019-02-21 10:03:52,3,0
136,LookAtMe1.2,45,1,2,1,2,137,46,3.0,0.4098174711689353,False,stim\7 F080C.jpg,2019-02-21 10:04:01,6,1
137,LookAtMe1.2,45,1,2,1,2,138,16,3.0,0.5012538582086563,True,stim\2 M024C + M010C.jpg,2019-02-21 10:04:09,6,0
138,LookAtMe1.2,45,1,2,1,2,139,12,1.0,0.4002974042668938,False,stim\morph\1&2 20.jpg,2019-02-21 10:04:18,2,0
139,LookAtMe1.2,45,1,2,1,2,140,11,1.0,0.5517849680036306,False,stim\1 M024C.jpg,2019-02-21 10:04:26,1,0
140,LookAtMe1.2,45,1,2,1,2,141,14,1.0,0.720557021908462,False,stim\morph\1&2 60.jpg,2019-02-21 10:04:36,4,0
141,LookAtMe1.2,45,1,2,1,2,142,43,1.0,0.972048851661384,False,stim\morph\7&8 60.jpg,2019-02-21 10:04:45,3,1
142,LookAtMe1.2,45,1,2,1,2,143,46,3.0,0.4779894286766648,True,stim\7 F080C.jpg,2019-02-21 10:04:54,6,1
143,LookAtMe1.2,45,1,2,1,2,144,42,1.0,0.4845017986372113,False,stim\morph\7&8 80.jpg,2019-02-21 10:05:02,2,1
144,LookAtMe1.2,45,1,2,1,2,145,44,1.0,0.4584439052268863,False,stim\morph\7&8 40.jpg,2019-02-21 10:05:11,4,1
