subject,k,fold,feature,train,test
16,6,2,gaze,0.43820224719101125,0.5652173913043478
16,10,0,gaze,0.5393258426966292,0.43478260869565216
16,10,1,gaze,0.449438202247191,0.4782608695652174
16,10,2,gaze,0.4606741573033708,0.391304347826087
16,12,0,gaze,0.5617977528089888,0.5652173913043478
16,12,1,gaze,0.5280898876404494,0.4782608695652174
16,12,2,gaze,0.48314606741573035,0.5652173913043478
16,15,0,gaze,0.5280898876404494,0.5217391304347826
16,15,1,gaze,0.5056179775280899,0.4782608695652174
16,15,2,gaze,0.5280898876404494,0.391304347826087
16,20,0,gaze,0.4606741573033708,0.5217391304347826
16,20,1,gaze,0.48314606741573035,0.5652173913043478
16,20,2,gaze,0.5730337078651685,0.4782608695652174
16,23,0,gaze,0.4943820224719101,0.6521739130434783
16,23,1,gaze,0.5280898876404494,0.782608695652174
16,23,2,gaze,0.4157303370786517,0.6086956521739131
17,2,0,gaze,0.5617977528089888,0.5217391304347826
17,2,1,gaze,0.42696629213483145,0.43478260869565216
17,2,2,gaze,0.6292134831460674,0.391304347826087
17,6,0,gaze,0.4157303370786517,0.34782608695652173
17,6,1,gaze,0.4606741573033708,0.5217391304347826
17,6,2,gaze,0.5168539325842697,0.6521739130434783
17,10,0,gaze,0.5955056179775281,0.4782608695652174
17,10,1,gaze,0.5168539325842697,0.391304347826087
17,10,2,gaze,0.4044943820224719,0.5217391304347826
17,12,0,gaze,0.550561797752809,0.5652173913043478
17,12,1,gaze,0.48314606741573035,0.4782608695652174
17,12,2,gaze,0.449438202247191,0.6521739130434783
17,15,0,gaze,0.5393258426966292,0.5217391304347826
17,15,1,gaze,0.4606741573033708,0.4782608695652174
17,15,2,gaze,0.5280898876404494,0.43478260869565216
17,20,0,gaze,0.5393258426966292,0.4782608695652174
17,20,1,gaze,0.5842696629213483,0.4782608695652174
17,20,2,gaze,0.5842696629213483,0.5652173913043478
17,23,0,gaze,0.5730337078651685,0.5217391304347826
17,23,1,gaze,0.4606741573033708,0.43478260869565216
17,23,2,gaze,0.550561797752809,0.6521739130434783
21,2,0,gaze,0.5730337078651685,0.391304347826087
21,2,1,gaze,0.5730337078651685,0.5217391304347826
21,2,2,gaze,0.4606741573033708,0.5652173913043478
21,6,0,gaze,0.5842696629213483,0.43478260869565216
21,6,1,gaze,0.5617977528089888,0.4782608695652174
21,6,2,gaze,0.6067415730337079,0.391304347826087
21,10,0,gaze,0.4943820224719101,0.6086956521739131
21,10,1,gaze,0.5393258426966292,0.43478260869565216
21,10,2,gaze,0.5842696629213483,0.391304347826087
21,12,0,gaze,0.42696629213483145,0.5217391304347826
21,12,1,gaze,0.4943820224719101,0.5652173913043478
21,12,2,gaze,0.4943820224719101,0.6956521739130435
21,15,0,gaze,0.38202247191011235,0.5217391304347826
21,15,1,gaze,0.6179775280898876,0.4782608695652174
21,15,2,gaze,0.4157303370786517,0.4782608695652174
21,20,0,gaze,0.4044943820224719,0.5652173913043478
21,20,1,gaze,0.6292134831460674,0.43478260869565216
21,20,2,gaze,0.5730337078651685,0.6086956521739131
21,23,0,gaze,0.5280898876404494,0.43478260869565216
21,23,1,gaze,0.550561797752809,0.43478260869565216
21,23,2,gaze,0.5955056179775281,0.34782608695652173
22,2,0,gaze,0.6067415730337079,0.391304347826087
22,2,1,gaze,0.5842696629213483,0.6521739130434783
22,2,2,gaze,0.6179775280898876,0.43478260869565216
22,6,0,gaze,0.43820224719101125,0.6086956521739131
22,6,1,gaze,0.5842696629213483,0.391304347826087
22,6,2,gaze,0.6741573033707865,0.5217391304347826
22,10,0,gaze,0.5280898876404494,0.6956521739130435
22,10,1,gaze,0.5617977528089888,0.782608695652174
