expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI
LookAtMe1.2,51,2,2,1,2,118,22,4.0,1.6183677427470684,False,stim\morph\3&4 20.jpg,2019-03-21 11:44:51,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,119,24,1.0,0.3507335055619478,False,stim\morph\3&4 60.jpg,2019-03-21 11:45:00,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,120,33,3.0,0.3683938849717378,False,stim\morph\5&6 60.jpg,2019-03-21 11:45:09,3,1,eyes
LookAtMe1.2,51,2,2,1,2,121,34,1.0,0.4261999540030956,False,stim\morph\5&6 40.jpg,2019-03-21 11:45:17,4,1,eyes
LookAtMe1.2,51,2,2,1,2,122,36,4.0,0.7002438008785248,False,stim\5 F053C + F048C.jpg,2019-03-21 11:45:26,6,1,eyes
LookAtMe1.2,51,2,2,1,2,123,22,1.0,0.7741703446954489,False,stim\morph\3&4 20.jpg,2019-03-21 11:45:35,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,124,26,4.0,0.3976803179830313,True,stim\4 M078C.jpg,2019-03-21 11:45:44,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,125,32,3.0,0.4299831613898277,False,stim\morph\5&6 80.jpg,2019-03-21 11:45:53,2,1,eyes
LookAtMe1.2,51,2,2,1,2,126,25,1.0,0.7170625664293766,False,stim\morph\3&4 80.jpg,2019-03-21 11:46:02,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,127,21,1.0,0.4317174702882767,False,stim\3 M078C + M057C.jpg,2019-03-21 11:46:11,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,128,23,1.0,1.0028039794415236,False,stim\morph\3&4 40.jpg,2019-03-21 11:46:20,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,129,36,3.0,0.272444749251008,True,stim\5 F053C + F048C.jpg,2019-03-21 11:46:28,6,1,eyes
LookAtMe1.2,51,2,2,1,2,130,26,4.0,0.9790446758270264,False,stim\4 M078C.jpg,2019-03-21 11:46:38,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,131,35,1.0,0.5010573510080576,False,stim\morph\5&6 20.jpg,2019-03-21 11:46:47,5,1,eyes
LookAtMe1.2,51,2,2,1,2,132,31,1.0,0.4966966416686773,False,stim\6 F053C.jpg,2019-03-21 11:46:55,1,1,eyes
LookAtMe1.2,51,2,2,1,2,133,26,3.0,1.243193170055747,False,stim\4 M078C.jpg,2019-03-21 11:47:05,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,134,25,1.0,0.4290841575711965,False,stim\morph\3&4 80.jpg,2019-03-21 11:47:14,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,135,31,1.0,0.6499900240451097,False,stim\6 F053C.jpg,2019-03-21 11:47:23,1,1,eyes
LookAtMe1.2,51,2,2,1,2,136,23,1.0,1.633772799745202,False,stim\morph\3&4 40.jpg,2019-03-21 11:47:32,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,137,36,3.0,0.5015735570341349,False,stim\5 F053C + F048C.jpg,2019-03-21 11:47:41,6,1,eyes
LookAtMe1.2,51,2,2,1,2,138,26,3.0,0.4000344928354025,True,stim\4 M078C.jpg,2019-03-21 11:47:50,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,139,22,1.0,1.358497029170394,False,stim\morph\3&4 20.jpg,2019-03-21 11:48:00,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,140,21,1.0,0.3971286546438932,False,stim\3 M078C + M057C.jpg,2019-03-21 11:48:08,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,141,24,1.0,0.4614077340811491,False,stim\morph\3&4 60.jpg,2019-03-21 11:48:16,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,142,33,1.0,1.532918505370617,False,stim\morph\5&6 60.jpg,2019-03-21 11:48:26,3,1,eyes
LookAtMe1.2,51,2,2,1,2,143,36,4.0,0.3592815529555082,True,stim\5 F053C + F048C.jpg,2019-03-21 11:48:35,6,1,eyes
LookAtMe1.2,51,2,2,1,2,144,32,1.0,1.201900588348508,False,stim\morph\5&6 80.jpg,2019-03-21 11:48:44,2,1,eyes
LookAtMe1.2,51,2,2,1,2,145,34,1.0,0.4947769436985254,False,stim\morph\5&6 40.jpg,2019-03-21 11:48:53,4,1,eyes
LookAtMe1.2,51,2,2,1,2,146,36,3.0,0.839501665905118,True,stim\5 F053C + F048C.jpg,2019-03-21 11:49:02,6,1,eyes
LookAtMe1.2,51,2,2,1,2,147,35,1.0,0.4356229677796364,False,stim\morph\5&6 20.jpg,2019-03-21 11:49:12,5,1,eyes
LookAtMe1.2,51,2,2,1,2,148,22,3.0,0.4098883830010891,False,stim\morph\3&4 20.jpg,2019-03-21 11:49:20,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,149,33,2.0,1.0049763713032007,False,stim\morph\5&6 60.jpg,2019-03-21 11:49:30,3,1,eyes
LookAtMe1.2,51,2,2,1,2,150,24,1.0,0.4734243992716074,False,stim\morph\3&4 60.jpg,2019-03-21 11:49:38,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,151,26,4.0,0.4846400134265423,True,stim\4 M078C.jpg,2019-03-21 11:49:48,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,152,32,1.0,1.167804243043065,False,stim\morph\5&6 80.jpg,2019-03-21 11:49:57,2,1,eyes
LookAtMe1.2,51,2,2,1,2,153,35,3.0,1.0073981527239084,False,stim\morph\5&6 20.jpg,2019-03-21 11:50:07,5,1,eyes
LookAtMe1.2,51,2,2,1,2,154,26,4.0,0.671660766005516,False,stim\4 M078C.jpg,2019-03-21 11:50:16,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,155,23,1.0,0.9241489507257938,False,stim\morph\3&4 40.jpg,2019-03-21 11:50:25,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,156,34,1.0,0.7021583896130323,False,stim\morph\5&6 40.jpg,2019-03-21 11:50:34,4,1,eyes
LookAtMe1.2,51,2,2,1,2,157,25,1.0,0.4656491577625274,False,stim\morph\3&4 80.jpg,2019-03-21 11:50:43,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,158,31,1.0,1.532523687928915,False,stim\6 F053C.jpg,2019-03-21 11:50:51,1,1,eyes
LookAtMe1.2,51,2,2,1,2,159,21,1.0,0.4382571820169687,False,stim\3 M078C + M057C.jpg,2019-03-21 11:51:00,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,160,36,3.0,0.2828626185655594,False,stim\5 F053C + F048C.jpg,2019-03-21 11:51:09,6,1,eyes
